	code	id	name	type	ct	clid	superid	vi
7251	641.11	5509	Gestational_Pregnancy_Related_Disorder	dx	14462	2115.0	227	7252
7252	832.09	5511	Non_Specific_Joint_Disorder	dx	13563	1861.0	245	7253
7253	156.2	5512	Hepatobiliary_Cancer	dx	4403	1576.0	285	7254
7254	156.1	5513	Hepatobiliary_Cancer	dx	9381	1576.0	285	7255
7255	156.0	5514	Hepatobiliary_Cancer	dx	9866	1576.0	285	7256
7256	523.22	5518	Non_Specific_Gingival_Peridontal_Disorder	dx	808	1527.0	242	7257
7257	523.23	5519	Non_Specific_Gingival_Peridontal_Disorder	dx	712	1527.0	242	7258
7258	156.9	566	Hepatobiliary_Cancer	dx	8467	1576.0	285	7259
7259	156.8	5521	Hepatobiliary_Cancer	dx	2230	1576.0	285	7260
7260	832.04	5522	Non_Specific_Joint_Disorder	dx	3179	1861.0	245	7261
7261	523.24	5523	Non_Specific_Gingival_Peridontal_Disorder	dx	574	1527.0	242	7262
7262	523.25	5524	Non_Specific_Gingival_Peridontal_Disorder	dx	254	1527.0	242	7263
7263	717.49	5537	Non_Specific_Acquired_Musculoskeletal_Abnormality	dx	91120	1535.0	245	7264
7264	717.41	5540	Non_Specific_Acquired_Musculoskeletal_Abnormality	dx	25103	1535.0	245	7265
7265	717.40	5541	Non_Specific_Acquired_Musculoskeletal_Abnormality	dx	164417	1535.0	245	7266
7266	717.43	5542	Non_Specific_Acquired_Musculoskeletal_Abnormality	dx	122180	1535.0	245	7267
7267	717.42	5543	Non_Specific_Acquired_Musculoskeletal_Abnormality	dx	67259	1535.0	245	7268
7268	361.19	5545	Acquired_Retinal_Defects	dx	1095	1766.0	221	7269
7269	424.1	713	Non_Rheumatic_Heart_Disease	dx	1283495	1526.0	236	7270
7270	424.0	716	Non_Rheumatic_Heart_Disease	dx	2879268	1526.0	236	7271
7271	424.3	721	Non_Rheumatic_Heart_Disease	dx	203285	1526.0	236	7272
7272	424.2	5551	Non_Rheumatic_Heart_Disease	dx	1028734	1526.0	236	7273
7273	669.03	5552	Gestational_Pregnancy_Related_Disorder	dx	736	2115.0	222	7274
7274	669.01	5554	Gestational_Pregnancy_Related_Disorder	dx	901	2115.0	222	7275
7275	361.14	741	Acquired_Retinal_Defects	dx	400	1766.0	221	7276
7276	351.8	14973	Cranial_Nerve_Disorder	dx	68940	1987.0	240	7277
7277	351.9	14974	Cranial_Nerve_Disorder	dx	29029	1987.0	240	7278
7278	358.2	12156	Myoneural_Disorders	dx	737	1702.0	240	7279
7279	V87.09	5558	Sleep_Disorder	dx	4292	2096.0	220	7280
7280	V87.02	5560	Sleep_Disorder	dx	104	2093.0	220	7281
7281	V87.01	5561	Sleep_Disorder	dx	745	2098.0	220	7282
7282	V30.2	15549	Liveborn	dx	10310	1383.0	313	7283
7283	799.89	5564	Sleep_Disorder	dx	194669	2096.0	220	7284
7284	883.0	889	Open wounds|Open wounds of extremities	dx	1792375	1477.0	243	7285
7285	883.1	892	Open wounds|Open wounds of extremities	dx	221558	1477.0	243	7286
7286	883.2	894	Open wounds|Open wounds of extremities	dx	92914	1477.0	243	7287
7287	E86.82	5575	E Codes: Poisoning	dx	306	1884.0	220	7288
7288	852.25	5576	Intracranial injury	dx	3201	2062.0	233	7289
7289	E86.89	5577	E Codes: Poisoning	dx	1685	1884.0	220	7290
7290	E86.88	5578	E Codes: Poisoning	dx	648	1884.0	220	7291
7291	170.9	939	Bone_Cancer	dx	30912	1979.0	235	7292
7292	170.8	940	Bone_Cancer	dx	2489	1979.0	235	7293
7293	036.81	942	General_Bacterial_Infection	dx	214	1964.0	224	7294
7294	170.3	5587	Bone_Cancer	dx	4584	1979.0	235	7295
7295	170.2	5588	Bone_Cancer	dx	15614	1979.0	235	7296
7296	170.1	5589	Bone_Cancer	dx	6152	1979.0	235	7297
7297	170.0	5590	Bone_Cancer	dx	12826	1979.0	235	7298
7298	036.89	960	General_Bacterial_Infection	dx	201	1963.0	224	7299
7299	170.6	5592	Bone_Cancer	dx	8126	1979.0	235	7300
7300	170.5	964	Bone_Cancer	dx	1932	1979.0	235	7301
7301	170.4	966	Bone_Cancer	dx	5495	1979.0	235	7302
7302	821.39	5595	Fractures|Other fractures	dx	869	1640.0	223	7303
7303	643.10	5596	Gestational_Pregnancy_Related_Disorder	dx	6879	2115.0	227	7304
7304	643.11	5597	Gestational_Pregnancy_Related_Disorder	dx	895	2115.0	227	7305
7305	643.13	5598	Gestational_Pregnancy_Related_Disorder	dx	53763	2115.0	227	7306
7306	821.30	5599	Fractures|Other fractures	dx	2876	1640.0	223	7307
7307	821.31	5600	Fractures|Other fractures	dx	2056	1640.0	223	7308
7308	821.32	5601	Fractures|Other fractures	dx	377	1641.0	223	7309
7309	821.33	5602	Fractures|Other fractures	dx	2388	1640.0	223	7310
7310	745.19	5603	Cardiac_Congenital_Anomaly	dx	2274	1712.0	278	7311
7311	656.91	14035	Gestational_Pregnancy_Related_Disorder	dx	4389	2115.0	222	7312
7312	865.00	16045	Crushing injury or internal injury	dx	15630	1439.0	232	7313
7313	893.2	5604	Open wounds|Open wounds of extremities	dx	4722	1477.0	243	7314
7314	893.1	5605	Open wounds|Open wounds of extremities	dx	44642	1478.0	243	7315
7315	893.0	5606	Open wounds|Open wounds of extremities	dx	269087	1477.0	243	7316
7316	512.89	5607	Non_Specific_Pulmonary_Disorder	dx	79557	1446.0	330	7317
7317	492.8	9267	Emphysema_COPD	dx	642571	1529.0	337	7318
7318	512.81	5609	Non_Specific_Pulmonary_Disorder	dx	9593	1444.0	330	7319
7319	512.82	5610	Non_Specific_Pulmonary_Disorder	dx	1241	1448.0	330	7320
7320	512.83	5611	Non_Specific_Pulmonary_Disorder	dx	1039	1448.0	330	7321
7321	512.84	5612	Non_Specific_Pulmonary_Disorder	dx	1212	1449.0	330	7322
7322	775.89	9269	Neonatal_Disease	dx	772	1544.0	244	7323
7323	386.43	1191	Inner_Ear_Disorder	dx	1868	1658.0	239	7324
7324	386.42	5617	Inner_Ear_Disorder	dx	1256	1658.0	239	7325
7325	386.41	5618	Inner_Ear_Disorder	dx	994	1658.0	239	7326
7326	386.40	5619	Inner_Ear_Disorder	dx	2931	1658.0	239	7327
7327	115.00	5621	Fungal_Infection	dx	1653	1645.0	293	7328
7328	115.02	1228	Eye_Infection	dx	11779	1676.0	221	7329
7329	115.05	5624	Pneumonia	dx	2781	1328.0	253	7330
7330	944.06	5626	Burns	dx	3686	2008.0	231	7331
7331	492.0	9275	Emphysema_COPD	dx	70732	1529.0	337	7332
7332	718.75	1296	Non_Specific_Joint_Disorder	dx	3830	1861.0	225	7333
7333	718.74	5631	Non_Specific_Joint_Disorder	dx	341	1859.0	225	7334
7334	718.77	1297	Non_Specific_Joint_Disorder	dx	3383	1859.0	225	7335
7335	718.76	1302	Non_Specific_Joint_Disorder	dx	676	1859.0	225	7336
7336	718.71	5634	Non_Specific_Joint_Disorder	dx	2074	1859.0	225	7337
7337	718.70	5635	Non_Specific_Joint_Disorder	dx	791	1859.0	225	7338
7338	718.73	5636	Non_Specific_Joint_Disorder	dx	172	1861.0	225	7339
7339	718.72	5637	Non_Specific_Joint_Disorder	dx	123	1860.0	225	7340
7340	416.8	5638	Pulmonary_Heart_Disease	dx	369822	1313.0	236	7341
7341	416.9	5639	Pulmonary_Heart_Disease	dx	80829	1313.0	236	7342
7342	718.79	5640	Non_Specific_Joint_Disorder	dx	625	1859.0	225	7343
7343	718.78	5641	Non_Specific_Joint_Disorder	dx	309	1859.0	225	7344
7344	V58.71	5642	Administrative/social admission|Factors influencing health care	dx	23990	1667.0	226	7345
7345	224.6	15784	Benign_Eye_Neoplasm	dx	335503	2125.0	249	7346
7346	691.8	5643	Atopic_Contact_Dermatitis	dx	2492813	1409.0	256	7347
7347	639.1	5644	Gestational_Pregnancy_Related_Disorder	dx	8900	2115.0	263	7348
7348	633.20	5645	Gestational_Pregnancy_Related_Disorder	dx	2087	2115.0	227	7349
7349	633.21	1386	Gestational_Pregnancy_Related_Disorder	dx	409	2115.0	227	7350
7350	537.81	5647	Functional_Digestive_Disorder	dx	5325	1945.0	260	7351
7351	537.83	5648	Non_Specific_Gastrointestinal_Disorder	dx	19423	1626.0	260	7352
7352	537.82	5649	Non_Specific_Gastrointestinal_Disorder	dx	22433	1626.0	260	7353
7353	537.84	5650	Non_Specific_Gastrointestinal_Disorder	dx	3920	1626.0	260	7354
7354	537.89	5651	Functional_Digestive_Disorder	dx	375540	1945.0	260	7355
7355	V58.75	5652	Administrative/social admission|Factors influencing health care	dx	88296	1665.0	226	7356
7356	788.38	5656	Non_Specific_Urinary_Disorder	dx	8718	2023.0	237	7357
7357	788.39	5657	Non_Specific_Urinary_Disorder	dx	66750	2023.0	237	7358
7358	079.53	5658	HIV	dx	7243	1902.0	248	7359
7359	079.52	5659	General_Viral_Infection	dx	748	1991.0	248	7360
7360	079.51	5660	General_Viral_Infection	dx	1864	1991.0	248	7361
7361	079.50	5661	General_Viral_Infection	dx	1205	1991.0	248	7362
7362	788.30	5662	Non_Specific_Urinary_Disorder	dx	977842	2023.0	237	7363
7363	788.31	5663	Non_Specific_Urinary_Disorder	dx	542176	2023.0	237	7364
7364	788.32	5664	Non_Specific_Urinary_Disorder	dx	67547	2026.0	237	7365
7365	788.33	5665	Non_Specific_Urinary_Disorder	dx	351999	2023.0	237	7366
7366	788.34	5666	Non_Specific_Urinary_Disorder	dx	25990	2023.0	237	7367
7367	788.35	5667	Non_Specific_Urinary_Disorder	dx	34997	2023.0	237	7368
7368	079.59	1473	General_Viral_Infection	dx	758	1991.0	248	7369
7369	788.37	5669	Non_Specific_Urinary_Disorder	dx	18259	2023.0	237	7370
7370	594.1	1477	Urinary_Calculus	dx	101570	1806.0	237	7371
7371	E94.90	5671	E Codes: Adverse effects of medical drugs	dx	175	2056.0	220	7372
7372	E94.94	5675	E Codes: Adverse effects of medical drugs	dx	355	2056.0	220	7373
7373	E94.96	5677	E Codes: Adverse effects of medical drugs	dx	1556	2056.0	220	7374
7374	E94.99	5678	E Codes: Adverse effects of medical drugs	dx	3185	2056.0	220	7375
7375	594.8	5679	Urinary_Calculus	dx	3672	1806.0	237	7376
7376	639.8	5681	Gestational_Pregnancy_Related_Disorder	dx	4240	2115.0	263	7377
7377	E01.99	16057	E Codes: Unspecified	dx	2035	1280.0	220	7378
7378	V76.19	5682	Administrative/social admission|Factors influencing health care	dx	269088	1673.0	226	7379
7379	V87.2	5683	Sleep_Disorder	dx	13048	2098.0	220	7380
7380	V76.10	5684	Administrative/social admission|Factors influencing health care	dx	1104399	1663.0	226	7381
7381	V76.11	5685	Administrative/social admission|Factors influencing health care	dx	1577898	1663.0	226	7382
7382	V76.12	5686	Administrative/social admission|Factors influencing health care	dx	16599179	1663.0	226	7383
7383	656.81	1569	Gestational_Pregnancy_Related_Disorder	dx	96086	2115.0	222	7384
7384	656.80	1573	Gestational_Pregnancy_Related_Disorder	dx	10539	2115.0	222	7385
7385	032.89	5701	General_Bacterial_Infection	dx	404	1964.0	224	7386
7386	909.3	9292	Non_Specific_Pulmonary_Disorder	dx	11813	1444.0	234	7387
7387	032.85	5706	Cellulitis	dx	317	1355.0	296	7388
7388	032.84	5707	Biliary_Tract_Disease	dx	233	1619.0	237	7389
7389	909.2	9293	Other injuries and conditions due to external causes	dx	15304	1948.0	241	7390
7390	369.74	15877	Acquired_Visual_Disturbances	dx	2324	1611.0	221	7391
7391	787.29	5712	Functional_Digestive_Disorder	dx	139913	1945.0	261	7392
7392	660.63	1707	Gestational_Pregnancy_Related_Disorder	dx	7863	2115.0	250	7393
7393	660.60	5714	Gestational_Pregnancy_Related_Disorder	dx	11779	2115.0	250	7394
7394	660.61	5715	Gestational_Pregnancy_Related_Disorder	dx	64304	2115.0	250	7395
7395	654.83	5716	Disease_of_the_Female_Reproductive_Organs	dx	657	2031.0	222	7396
7396	654.81	5718	Disease_of_the_Female_Reproductive_Organs	dx	3411	2031.0	222	7397
7397	654.80	5719	Disease_of_the_Female_Reproductive_Organs	dx	375	2031.0	222	7398
7398	157.2	16795	Pancreatic_Cancer	dx	8651	1322.0	285	7399
7399	654.84	5720	Disease_of_the_Female_Reproductive_Organs	dx	228	2031.0	222	7400
7400	224.5	7086	Benign_Eye_Neoplasm	dx	24377	2125.0	249	7401
7401	341.20	5726	Encephalitis	dx	4501	1690.0	258	7402
7402	341.21	5727	Encephalitis	dx	681	1690.0	258	7403
7403	744.29	1821	Congenital_Anomaly_of_Skull_Neck	dx	9582	1792.0	228	7404
7404	203.10	12099	Multiple_Myeloma	dx	3202	1458.0	229	7405
7405	744.24	5730	Congenital_Anomaly_of_Skull_Neck	dx	2032	1792.0	228	7406
7406	744.23	5731	Congenital_Anomaly_of_Skull_Neck	dx	4857	1792.0	228	7407
7407	744.22	5732	Congenital_Anomaly_of_Skull_Neck	dx	376	1792.0	228	7408
7408	744.21	5733	Congenital_Anomaly_of_Skull_Neck	dx	414	1792.0	228	7409
7409	E94.21	12100	E Codes: Adverse effects of medical drugs	dx	1658	2057.0	220	7410
7410	999.69	5736	Non_Specific_Pulmonary_Disorder	dx	321	1442.0	234	7411
7411	369.76	15879	Acquired_Visual_Disturbances	dx	972	1612.0	221	7412
7412	E94.22	12101	E Codes: Adverse effects of medical drugs	dx	7450	2057.0	220	7413
7413	999.61	5741	Non_Specific_Pulmonary_Disorder	dx	115	1446.0	234	7414
7414	999.60	5742	Non_Specific_Pulmonary_Disorder	dx	1950	1450.0	234	7415
7415	V71.89	9302	Administrative/social admission|Factors influencing health care	dx	1032988	1662.0	226	7416
7416	484.7	15565	Pneumonia	dx	2778	1328.0	253	7417
7417	715.21	8419	Osteoarthritis	dx	15661	1613.0	225	7418
7418	517.3	13506	Non_Specific_Pulmonary_Disorder	dx	5866	1447.0	333	7419
7419	596.59	9305	Bladder_Disorder	dx	146657	2162.0	237	7420
7420	655.81	14994	Gestational_Pregnancy_Related_Disorder	dx	19020	2115.0	222	7421
7421	E94.29	12105	E Codes: Adverse effects of medical drugs	dx	2575	2057.0	220	7422
7422	840.3	5751	Sprains and strains	dx	73487	1346.0	273	7423
7423	V71.82	9307	Immunizations and screening for infectious disease	dx	695	1560.0	255	7424
7424	840.1	5753	Sprains and strains	dx	8182	1346.0	273	7425
7425	840.0	5754	Sprains and strains	dx	175081	1346.0	273	7426
7426	840.7	5755	Sprains and strains	dx	325666	1346.0	273	7427
7427	840.6	5756	Sprains and strains	dx	440656	1346.0	273	7428
7428	840.5	5757	Sprains and strains	dx	62018	1346.0	273	7429
7429	840.4	5758	Sprains and strains	dx	1208288	1346.0	273	7430
7430	201.52	6432	Hodgkins_Disease	dx	3773	1593.0	229	7431
7431	840.9	5760	Sprains and strains	dx	1191383	1346.0	273	7432
7432	840.8	5761	Sprains and strains	dx	586741	1346.0	273	7433
7433	345.11	5762	Epilepsy_Related_Disorders	dx	58417	1990.0	323	7434
7434	345.10	5763	Epilepsy_Related_Disorders	dx	261504	1990.0	323	7435
7435	201.53	6433	Hodgkins_Disease	dx	506	1593.0	229	7436
7436	V71.81	9310	Administrative/social admission|Factors influencing health care	dx	12683	1672.0	226	7437
7437	201.50	6434	Hodgkins_Disease	dx	9497	1593.0	229	7438
7438	201.51	6435	Hodgkins_Disease	dx	5402	1593.0	229	7439
7439	200.37	5768	Non_Hodgkins_Lymphoma	dx	1061	1497.0	229	7440
7440	200.36	5769	Non_Hodgkins_Lymphoma	dx	163	1496.0	229	7441
7441	269.8	2081	Malnutrition	dx	23448	2066.0	301	7442
7442	200.34	2082	Non_Hodgkins_Lymphoma	dx	452	1497.0	229	7443
7443	200.33	5772	Non_Hodgkins_Lymphoma	dx	1635	1496.0	229	7444
7444	200.32	5773	Non_Hodgkins_Lymphoma	dx	617	1496.0	229	7445
7445	200.31	5774	Non_Hodgkins_Lymphoma	dx	1946	1497.0	229	7446
7446	200.30	5775	Non_Hodgkins_Lymphoma	dx	11089	1496.0	229	7447
7447	269.2	5776	Vitamin_Deficiency	dx	234574	1614.0	301	7448
7448	269.3	5777	Non_Specific_Metabolic_Disorder	dx	47850	1473.0	301	7449
7449	269.0	5778	Vitamin_Deficiency	dx	6907	1614.0	301	7450
7450	269.1	5779	Vitamin_Deficiency	dx	38561	1614.0	301	7451
7451	200.38	5780	Non_Hodgkins_Lymphoma	dx	1521	1497.0	229	7452
7452	539.89	5783	Non_Specific_Pulmonary_Disorder	dx	6536	1442.0	234	7453
7453	V22.1	5785	Gestational_Pregnancy_Related_Disorder	dx	2999540	2115.0	308	7454
7454	V22.0	5786	Gestational_Pregnancy_Related_Disorder	dx	1408857	2115.0	308	7455
7455	539.81	5787	Non_Specific_Pulmonary_Disorder	dx	599	1446.0	234	7456
7456	V22.2	5788	Gestational_Pregnancy_Related_Disorder	dx	2005356	2115.0	308	7457
7457	275.1	5789	Copper_Metabolism_Disorder	dx	9294	1319.0	254	7458
7458	275.0	5790	Non_Specific_Metabolic_Disorder	dx	93090	1472.0	254	7459
7459	275.3	5791	Phosphorus_Metabolism_Disorder	dx	111621	1524.0	254	7460
7460	275.2	5792	Non_Specific_Metabolic_Disorder	dx	331781	1472.0	254	7461
7461	275.5	2191	Electrolyte_Acid_Base_Balance_Disorder	dx	1076	1309.0	254	7462
7462	275.9	5796	Non_Specific_Metabolic_Disorder	dx	10742	1472.0	254	7463
7463	964.7	5797	Poisoning|Poisoning by other medications and drugs	dx	243	1769.0	230	7464
7464	E90.7	5798	E Codes: Natural/environment	dx	363	1434.0	220	7465
7465	V76.89	12112	Administrative/social admission|Factors influencing health care	dx	23521	1659.0	226	7466
7466	E90.3	5800	E Codes: Natural/environment	dx	4729	1434.0	220	7467
7467	948.51	5801	Burns	dx	303	2008.0	231	7468
7468	767.11	6438	Gestational_Pregnancy_Related_Disorder	dx	1174	2116.0	341	7469
7469	671.33	5805	Gestational_Pregnancy_Related_Disorder	dx	6745	2115.0	222	7470
7470	671.31	5806	Gestational_Pregnancy_Related_Disorder	dx	1037	2116.0	222	7471
7471	671.30	5807	Gestational_Pregnancy_Related_Disorder	dx	2489	2115.0	222	7472
7472	655.83	14996	Gestational_Pregnancy_Related_Disorder	dx	477993	2115.0	222	7473
7473	964.8	5808	Poisoning|Poisoning by other medications and drugs	dx	291	1773.0	230	7474
7474	305.51	5809	Substance_Abuse	dx	11658	1466.0	259	7475
7475	305.50	5810	Substance_Abuse	dx	57509	1466.0	259	7476
7476	305.53	5811	Substance_Abuse	dx	6900	1466.0	259	7477
7477	305.52	5812	Substance_Abuse	dx	2898	1466.0	259	7478
7478	910.9	15406	Superficial injury; contusion	dx	6824	1530.0	252	7479
7479	078.6	5815	General_Viral_Infection	dx	567	1993.0	248	7480
7480	078.7	5816	General_Viral_Infection	dx	351	1993.0	248	7481
7481	078.4	5817	General_Viral_Infection	dx	8319	1993.0	248	7482
7482	078.5	5818	General_Viral_Infection	dx	25848	1994.0	248	7483
7483	078.2	2336	General_Viral_Infection	dx	15618	1991.0	248	7484
7484	078.3	5078	General_Viral_Infection	dx	17256	1991.0	248	7485
7485	078.0	2345	General_Viral_Infection	dx	653530	1993.0	248	7486
7486	658.80	5822	Gestational_Pregnancy_Related_Disorder	dx	980	2115.0	250	7487
7487	767.9	5823	Gestational_Pregnancy_Related_Disorder	dx	2131	2116.0	341	7488
7488	767.8	5824	Gestational_Pregnancy_Related_Disorder	dx	3871	2116.0	341	7489
7489	E81.29	12121	E Codes: Motor vehicle traffic (MVT)	dx	35896	1926.0	220	7490
7490	964.9	5827	Poisoning|Poisoning by other medications and drugs	dx	463	1768.0	230	7491
7491	252.1	6441	Parathyroid_Disorder	dx	58884	1858.0	267	7492
7492	767.1	5828	Gestational_Pregnancy_Related_Disorder	dx	1701	2116.0	341	7493
7493	767.0	5829	Gestational_Pregnancy_Related_Disorder	dx	5844	2116.0	341	7494
7494	767.3	2384	Gestational_Pregnancy_Related_Disorder	dx	1866	2116.0	341	7495
7495	767.2	2387	Gestational_Pregnancy_Related_Disorder	dx	7089	2116.0	341	7496
7496	767.5	5832	Gestational_Pregnancy_Related_Disorder	dx	1314	2116.0	341	7497
7497	767.4	5833	Gestational_Pregnancy_Related_Disorder	dx	1899	2118.0	341	7498
7498	767.7	5834	Gestational_Pregnancy_Related_Disorder	dx	514	2118.0	341	7499
7499	767.6	5835	Gestational_Pregnancy_Related_Disorder	dx	6550	2116.0	341	7500
7500	945.35	5837	Burns	dx	591	2008.0	231	7501
7501	907.9	14282	Other injuries and conditions due to external causes	dx	1072	1949.0	241	7502
7502	070.6	5839	Other_Viral_Hepatitis	dx	746	1844.0	248	7503
7503	070.0	5845	Viral_Hepatitis_A	dx	9731	1698.0	248	7504
7504	070.1	2458	Viral_Hepatitis_A	dx	30395	1698.0	248	7505
7505	965.9	5847	Poisoning|Poisoning by other medications and drugs	dx	4614	1768.0	230	7506
7506	V84.81	12329	Sleep_Disorder	dx	874	2098.0	220	7507
7507	958.99	5850	Other injuries and conditions due to external causes	dx	202	1949.0	241	7508
7508	E82.80	5851	E Codes: Pedestrian; not MVT	dx	641	1609.0	220	7509
7509	E82.82	5852	E Codes: Transport; not MVT	dx	26390	1580.0	220	7510
7510	903.01	15716	Crushing injury or internal injury	dx	507	1441.0	232	7511
7511	802.9	12129	Fractures|Other fractures	dx	4799	1641.0	223	7512
7512	E81.27	12130	E Codes: Motor vehicle traffic (MVT)	dx	1247	1926.0	220	7513
7513	424.99	5856	Carditis	dx	7887	1970.0	236	7514
7514	724.70	2550	General_Spondylosis_Spine_Disorder	dx	21526	1697.0	274	7515
7515	724.71	2552	General_Spondylosis_Spine_Disorder	dx	1529	1697.0	274	7516
7516	424.91	5864	Rheumatic_Heart_Disease	dx	6970	1828.0	236	7517
7517	424.90	5865	Carditis	dx	142292	1970.0	236	7518
7518	724.79	5867	General_Spondylosis_Spine_Disorder	dx	276700	1697.0	274	7519
7519	379.09	5868	Eye_Inflammation	dx	7661	1725.0	221	7520
7520	V46.2	5869	Non_Specific_Pulmonary_Disorder	dx	114601	1449.0	333	7521
7521	V46.1	5870	Non_Specific_Pulmonary_Disorder	dx	2432	1446.0	333	7522
7522	V46.0	5871	Sleep_Disorder	dx	430	2098.0	220	7523
7523	046.11	2591	Prion_Disease	dx	174	1931.0	258	7524
7524	362.9	5873	Acquired_Retinal_Defects	dx	19658	1766.0	221	7525
7525	379.01	2602	Eye_Inflammation	dx	50973	1725.0	221	7526
7526	379.03	2606	Eye_Inflammation	dx	13266	1725.0	221	7527
7527	379.02	5877	Eye_Inflammation	dx	31064	1725.0	221	7528
7528	379.05	14663	Eye_Inflammation	dx	1812	1725.0	221	7529
7529	379.04	944	Eye_Inflammation	dx	850	1725.0	221	7530
7530	381.06	5883	Ear_Infection	dx	1169	1657.0	239	7531
7531	381.04	5884	Ear_Infection	dx	58073	1657.0	239	7532
7532	381.05	5885	Ear_Infection	dx	3592	1657.0	239	7533
7533	381.02	5886	Ear_Infection	dx	102385	1657.0	239	7534
7534	381.03	5887	Ear_Infection	dx	9603	1657.0	239	7535
7535	381.00	5888	Ear_Infection	dx	920417	1657.0	239	7536
7536	381.01	5889	Ear_Infection	dx	1821329	1657.0	239	7537
7537	123.9	5890	Parasitic_Infection	dx	7015	1475.0	246	7538
7538	123.8	5891	Parasitic_Infection	dx	286	1475.0	246	7539
7539	123.6	5892	Parasitic_Infection	dx	417	1475.0	246	7540
7540	123.5	5893	Parasitic_Infection	dx	290	1475.0	246	7541
7541	123.4	5894	Parasitic_Infection	dx	10045	1475.0	246	7542
7542	123.3	5895	Parasitic_Infection	dx	5647	1475.0	246	7543
7543	123.2	5896	Parasitic_Infection	dx	892	1475.0	246	7544
7544	123.1	5897	Parasitic_Infection	dx	5048	1475.0	246	7545
7545	123.0	5898	Parasitic_Infection	dx	707	1475.0	246	7546
7546	738.5	5899	Non_Specific_Acquired_Musculoskeletal_Abnormality	dx	39143	1536.0	264	7547
7547	738.4	5900	Non_Specific_Acquired_Musculoskeletal_Abnormality	dx	582274	1535.0	264	7548
7548	738.7	5901	Non_Specific_Acquired_Musculoskeletal_Abnormality	dx	5275	1535.0	264	7549
7549	738.6	2731	Non_Specific_Acquired_Musculoskeletal_Abnormality	dx	46029	1535.0	264	7550
7550	307.52	2741	Eating_Disorder	dx	18274	2076.0	262	7551
7551	307.51	2742	Eating_Disorder	dx	46233	2076.0	262	7552
7552	307.50	2745	Eating_Disorder	dx	139807	2076.0	262	7553
7553	E01.35	5907	E Codes: Unspecified	dx	766	1280.0	220	7554
7554	738.9	5908	Non_Specific_Acquired_Musculoskeletal_Abnormality	dx	13338	1535.0	264	7555
7555	738.8	5909	Non_Specific_Acquired_Musculoskeletal_Abnormality	dx	63567	1535.0	264	7556
7556	307.59	5910	Eating_Disorder	dx	27916	2076.0	262	7557
7557	E01.34	5911	E Codes: Unspecified	dx	628	1280.0	220	7558
7558	676.83	5912	Gestational_Pregnancy_Related_Disorder	dx	487	2115.0	222	7559
7559	676.82	5913	Gestational_Pregnancy_Related_Disorder	dx	435	2115.0	222	7560
7560	676.81	5914	Gestational_Pregnancy_Related_Disorder	dx	1654	2115.0	222	7561
7561	676.80	5915	Gestational_Pregnancy_Related_Disorder	dx	15419	2115.0	222	7562
7562	676.84	5916	Gestational_Pregnancy_Related_Disorder	dx	19528	2115.0	222	7563
7563	383.00	5917	Ear_Infection	dx	25516	1657.0	239	7564
7564	383.01	5918	Ear_Infection	dx	1652	1657.0	239	7565
7565	383.02	5919	Ear_Infection	dx	2669	1657.0	239	7566
7566	052.8	5922	Varicella_Infection	dx	5126	1484.0	248	7567
7567	052.9	5923	Varicella_Infection	dx	156322	1484.0	248	7568
7568	052.7	5924	Varicella_Infection	dx	2911	1484.0	248	7569
7569	052.2	5925	Varicella_Infection	dx	162	1484.0	248	7570
7570	052.0	5926	Encephalitis	dx	1173	1690.0	258	7571
7571	052.1	5927	Pneumonia	dx	1101	1327.0	253	7572
7572	V59.09	5928	Sleep_Disorder	dx	5435	2100.0	220	7573
7573	721.41	12140	Inflammatory_Spondylopathies	dx	27577	1826.0	274	7574
7574	V59.01	5931	Sleep_Disorder	dx	4789	2096.0	220	7575
7575	V59.02	5932	Sleep_Disorder	dx	15222	2094.0	220	7576
7576	642.92	5933	Gestational_Pregnancy_Related_Disorder	dx	2379	2115.0	227	7577
7577	777.2	2910	Neonatal_Disease	dx	139	1544.0	244	7578
7578	777.3	5935	Neonatal_Disease	dx	1698	1544.0	244	7579
7579	777.1	5936	Neonatal_Disease	dx	3560	1544.0	244	7580
7580	777.6	5937	Neonatal_Disease	dx	1429	1544.0	244	7581
7581	777.4	5939	Neonatal_Disease	dx	1490	1544.0	244	7582
7582	777.5	5940	Neonatal_Disease	dx	1978	1544.0	244	7583
7583	133.8	5941	Infestation	dx	23810	2135.0	246	7584
7584	133.9	5942	Infestation	dx	6288	2135.0	246	7585
7585	777.8	5943	Neonatal_Disease	dx	10836	1544.0	244	7586
7586	777.9	5944	Neonatal_Disease	dx	5743	1544.0	244	7587
7587	010.80	5947	Tuberculosis	dx	367	1459.0	224	7588
7588	798.9	5953	Sleep_Disorder	dx	8589	2098.0	220	7589
7589	800.26	5955	Intracranial injury	dx	1651	2061.0	233	7590
7590	800.24	5956	Intracranial injury	dx	129	2062.0	233	7591
7591	800.25	5957	Intracranial injury	dx	436	2063.0	233	7592
7592	800.22	5958	Intracranial injury	dx	1156	2063.0	233	7593
7593	800.23	5959	Intracranial injury	dx	224	2061.0	233	7594
7594	800.20	5960	Intracranial injury	dx	3716	2063.0	233	7595
7595	800.21	5961	Intracranial injury	dx	2783	2063.0	233	7596
7596	005.2	5963	Gastrointestinal_Infection	dx	186	2123.0	268	7597
7597	800.29	5964	Intracranial injury	dx	205	2061.0	233	7598
